﻿date,instrument,tenor,yield
46136,국고채,15,3.787
46136,국고채,20,3.755
46136,국고채,30,3.672
46135,국고채,0.25,2.621
46135,국고채,0.5,2.691
46135,국고채,0.75,2.796
46135,국고채,1,2.965
46135,국고채,1.5,3.193
46135,국고채,2,3.331
46135,국고채,2.5,3.365
46135,국고채,3,3.453
46135,국고채,4,3.615
46135,국고채,5,3.65
46135,국고채,7,3.718
46135,국고채,10,3.787
46135,국고채,15,3.76
46135,국고채,20,3.729
46135,국고채,30,3.651
46134,국고채,0.25,2.618
46134,국고채,0.5,2.681
46134,국고채,0.75,2.773
46134,국고채,1,2.936
46134,국고채,1.5,3.125
46134,국고채,2,3.24
46134,국고채,2.5,3.276
46134,국고채,3,3.364
46134,국고채,4,3.517
46134,국고채,5,3.562
46134,국고채,7,3.624
46134,국고채,10,3.697
46134,국고채,15,3.691
46134,국고채,20,3.645
46134,국고채,30,3.57
46133,국고채,0.25,2.618
46133,국고채,0.5,2.676
46133,국고채,0.75,2.768
46133,국고채,1,2.926
46133,국고채,1.5,3.108
46133,국고채,2,3.207
46133,국고채,2.5,3.25
46133,국고채,3,3.335
46133,국고채,4,3.492
46133,국고채,5,3.54
46133,국고채,7,3.594
46133,국고채,10,3.656
46133,국고채,15,3.657
46133,국고채,20,3.62
46133,국고채,30,3.535
46132,국고채,0.25,2.62
46132,국고채,0.5,2.678
46132,국고채,0.75,2.765
46132,국고채,1,2.925
46132,국고채,1.5,3.112
46132,국고채,2,3.216
46132,국고채,2.5,3.26
46132,국고채,3,3.347
46132,국고채,4,3.51
46132,국고채,5,3.567
46132,국고채,7,3.62
46132,국고채,10,3.685
46132,국고채,15,3.687
46132,국고채,20,3.65
46132,국고채,30,3.567
46129,국고채,0.25,2.621
46129,국고채,0.5,2.68
46129,국고채,0.75,2.776
46129,국고채,1,2.93
46129,국고채,1.5,3.118
46129,국고채,2,3.23
46129,국고채,2.5,3.275
46129,국고채,3,3.37
46129,국고채,4,3.537
46129,국고채,5,3.578
46129,국고채,7,3.64
46129,국고채,10,3.715
46129,국고채,15,3.716
46129,국고채,20,3.677
46129,국고채,30,3.58
46128,국고채,0.25,2.621
46128,국고채,0.5,2.678
46128,국고채,0.75,2.776
46128,국고채,1,2.926
46128,국고채,1.5,3.101
46128,국고채,2,3.2
46128,국고채,2.5,3.248
46128,국고채,3,3.337
46128,국고채,4,3.5
46128,국고채,5,3.54
46128,국고채,7,3.6
46128,국고채,10,3.672
46128,국고채,15,3.673
46128,국고채,20,3.632
